# Time,iL-0,iL-1,iL-2,iL-3,iL-4,iL-5,iL-6,iL-7,iL-8,iL-9,iL-10,iL-11,iL-12,iL-13,iL-14,iL-15,iL-16,iL-17,iL-18,iL-19,iL-20,iL-21,iL-22,iL-23,iL-24,iL-25,iL-26,iL-27,iL-28,iL-29,iL-30,iL-31,iL-32,iL-33,iL-34,iL-35,iL-36,iL-37,iL-38,iL-39,iL-40,iL-41,iL-42,iL-43,iL-44,iL-45,iL-46,iL-47
0.000000000000000000e+00,6.623501199040765508e-02,9.623501199040765397e-02,4.623501199040765119e-02,8.623501199040765897e-02,-4.200791366906474700e+00,-4.180791366906475126e+00,-4.160791366906474664e+00,-4.150791366906474877e+00,-1.330449240607514128e+00,-1.326449240607514124e+00,-1.320449240607514119e+00,-1.330449240607514128e+00,-1.924754596322941547e+00,-1.912754596322941758e+00,-1.904754596322941751e+00,-1.928754596322941550e+00,-4.397218225419663895e+00,-4.447218225419664606e+00,-4.417218225419664357e+00,-4.427218225419664144e+00,-5.674196642685851444e+00,-5.694196642685851018e+00,-5.714196642685851479e+00,-5.714196642685851479e+00,-4.152150279776178898e+00,-4.212150279776179396e+00,-4.162150279776179573e+00,-4.162150279776179573e+00,-6.789752198241407299e+00,-6.689752198241406766e+00,-6.749752198241407264e+00,-6.809752198241406873e+00,-1.326257394084732200e+00,-1.348257394084732219e+00,-1.344257394084732216e+00,-1.336257394084732208e+00,-1.445595523581135078e+00,-1.445595523581135078e+00,-1.465595523581135096e+00,-1.455595523581135087e+00,-1.019520383693045540e+00,-9.995203836930456331e-01,-9.995203836930456331e-01,-1.009520383693045531e+00,-9.668089528377299402e+00,-9.568089528377299757e+00,-9.668089528377299402e+00,-9.668089528377299402e+00
8.000000000000000167e-08,5.962350119904076262e-01,5.662350119904075996e-01,5.462350119904076928e-01,5.762350119904076085e-01,-3.980791366906474948e+00,-3.970791366906475162e+00,-3.940791366906474913e+00,-3.960791366906474487e+00,-9.184492406075139836e-01,-9.164492406075139819e-01,-9.104492406075139765e-01,-9.164492406075139819e-01,-1.452754596322941572e+00,-1.448754596322941568e+00,-1.456754596322941575e+00,-1.472754596322941589e+00,-3.947218225419664162e+00,-4.007218225419664215e+00,-4.007218225419664215e+00,-3.987218225419664197e+00,-5.474196642685851266e+00,-5.434196642685851231e+00,-5.474196642685851266e+00,-5.514196642685851302e+00,-3.972150279776178738e+00,-3.942150279776178934e+00,-3.922150279776178916e+00,-3.932150279776179147e+00,-6.569752198241406660e+00,-6.469752198241407015e+00,-6.589752198241407122e+00,-6.569752198241406660e+00,-9.162573940847321685e-01,-9.382573940847321881e-01,-9.262573940847321774e-01,-9.142573940847321667e-01,-9.055955235811351534e-01,-8.955955235811351445e-01,-9.755955235811351045e-01,-9.255955235811351711e-01,-1.049520383693045567e+00,-1.039520383693045558e+00,-1.069520383693045584e+00,-1.039520383693045558e+00,-9.408089528377299615e+00,-9.348089528377299118e+00,-9.368089528377298691e+00,-9.368089528377298691e+00
1.600000000000000033e-07,1.176235011990407697e+00,1.156235011990407680e+00,1.166235011990407688e+00,1.136235011990407662e+00,-3.760791366906475197e+00,-3.730791366906474948e+00,-3.790791366906474558e+00,-3.750791366906474522e+00,-3.964492406075140196e-01,-4.024492406075140249e-01,-3.904492406075140143e-01,-4.004492406075140232e-01,-9.087545963229416435e-01,-9.247545963229416577e-01,-9.127545963229416470e-01,-9.207545963229416541e-01,-3.447218225419664162e+00,-3.487218225419664197e+00,-3.467218225419664179e+00,-3.477218225419664410e+00,-5.294196642685851550e+00,-5.254196642685851515e+00,-5.234196642685851053e+00,-5.254196642685851515e+00,-3.672150279776178916e+00,-3.692150279776178934e+00,-3.712150279776178952e+00,-3.692150279776178934e+00,-6.349752198241406909e+00,-6.289752198241407299e+00,-6.289752198241407299e+00,-6.329752198241407335e+00,-4.022573940847322116e-01,-4.222573940847322294e-01,-4.162573940847322240e-01,-4.062573940847322151e-01,-3.755955235811351267e-01,-3.455955235811351556e-01,-3.755955235811351267e-01,-3.455955235811351556e-01,-1.039520383693045558e+00,-1.029520383693045549e+00,-1.049520383693045567e+00,-1.069520383693045584e+00,-9.108089528377298905e+00,-9.148089528377298052e+00,-9.088089528377299331e+00,-9.108089528377298905e+00
2.400000000000000315e-07,1.686235011990407706e+00,1.686235011990407706e+00,1.686235011990407706e+00,1.676235011990407697e+00,-3.530791366906474771e+00,-3.520791366906474984e+00,-3.530791366906474771e+00,-3.530791366906474771e+00,1.135507593924859615e-01,1.095507593924859580e-01,1.215507593924859686e-01,1.135507593924859615e-01,-3.887545963229416812e-01,-3.967545963229416328e-01,-4.207545963229416541e-01,-4.207545963229416541e-01,-2.937218225419664375e+00,-2.937218225419664375e+00,-2.937218225419664375e+00,-2.927218225419664144e+00,-5.074196642685850911e+00,-5.094196642685851373e+00,-5.074196642685850911e+00,-5.014196642685851302e+00,-3.502150279776178987e+00,-3.522150279776179005e+00,-3.532150279776178792e+00,-3.512150279776178774e+00,-6.049752198241407086e+00,-6.109752198241406695e+00,-6.109752198241406695e+00,-6.109752198241406695e+00,1.177426059152677784e-01,8.574260591526777775e-02,1.057426059152677955e-01,1.097426059152677713e-01,2.044044764188648611e-01,1.644044764188648533e-01,1.944044764188648522e-01,2.044044764188648611e-01,-1.039520383693045558e+00,-1.089520383693045602e+00,-1.029520383693045549e+00,-1.019520383693045540e+00,-8.948089528377298763e+00,-8.888089528377298265e+00,-8.908089528377299615e+00,-8.948089528377298763e+00
3.200000000000000067e-07,2.056235011990407369e+00,2.056235011990407369e+00,2.056235011990407369e+00,2.016235011990407333e+00,-3.330791366906474593e+00,-3.330791366906474593e+00,-3.320791366906474806e+00,-3.330791366906474593e+00,6.355507593924860643e-01,6.315507593924860608e-01,6.475507593924860750e-01,6.295507593924860590e-01,1.272454036770583330e-01,1.112454036770583465e-01,1.192454036770583536e-01,9.924540367705833588e-02,-2.407218225419664126e+00,-2.407218225419664126e+00,-2.397218225419664339e+00,-2.367218225419664535e+00,-4.774196642685851089e+00,-4.774196642685851089e+00,-4.834196642685851586e+00,-4.834196642685851586e+00,-3.322150279776178827e+00,-3.332150279776179058e+00,-3.302150279776178809e+00,-3.332150279776179058e+00,-5.889752198241406944e+00,-5.849752198241406909e+00,-5.969752198241407015e+00,-5.909752198241407406e+00,6.257426059152678688e-01,5.977426059152678439e-01,6.137426059152678581e-01,6.237426059152678670e-01,7.944044764188649133e-01,7.544044764188648777e-01,7.544044764188648777e-01,7.544044764188648777e-01,-1.059520383693045575e+00,-1.029520383693045549e+00,-1.029520383693045549e+00,-1.009520383693045531e+00,-8.668089528377299402e+00,-8.668089528377299402e+00,-8.728089528377298123e+00,-8.728089528377298123e+00
3.999999999999999819e-07,2.326235011990407386e+00,2.276235011990407564e+00,2.276235011990407564e+00,2.326235011990407386e+00,-3.100791366906475055e+00,-3.130791366906475304e+00,-3.130791366906475304e+00,-3.110791366906474842e+00,1.147550759392485853e+00,1.143550759392485849e+00,1.153550759392485858e+00,1.135550759392485842e+00,6.392454036770582881e-01,6.192454036770583814e-01,6.272454036770583885e-01,6.312454036770583921e-01,-1.897218225419664339e+00,-1.877218225419664321e+00,-1.907218225419664348e+00,-1.887218225419664330e+00,-4.574196642685850911e+00,-4.614196642685850946e+00,-4.554196642685851337e+00,-4.594196642685851373e+00,-3.092150279776178845e+00,-3.072150279776178827e+00,-3.082150279776179058e+00,-3.092150279776178845e+00,-5.649752198241406731e+00,-5.709752198241407228e+00,-5.689752198241406766e+00,-5.669752198241407193e+00,1.143742605915267774e+00,1.117742605915267751e+00,1.123742605915267756e+00,1.139742605915267770e+00,1.334404476418864949e+00,1.354404476418864967e+00,1.354404476418864967e+00,1.324404476418864940e+00,-1.019520383693045540e+00,-1.019520383693045540e+00,-1.029520383693045549e+00,-1.039520383693045558e+00,-8.468089528377298336e+00,-8.468089528377298336e+00,-8.588089528377299331e+00,-8.508089528377299260e+00
4.800000000000000630e-07,2.556235011990407369e+00,2.546235011990407582e+00,2.546235011990407582e+00,2.476235011990407742e+00,-2.930791366906475126e+00,-2.870791366906474629e+00,-2.880791366906475304e+00,-2.960791366906474487e+00,1.621550759392485830e+00,1.625550759392485833e+00,1.635550759392485842e+00,1.619550759392485828e+00,1.167245403677058313e+00,1.135245403677058285e+00,1.155245403677058302e+00,1.147245403677058295e+00,-1.337218225419664286e+00,-1.387218225419664330e+00,-1.387218225419664330e+00,-1.397218225419664339e+00,-4.374196642685851621e+00,-4.334196642685851586e+00,-4.414196642685851657e+00,-4.374196642685851621e+00,-2.852150279776179076e+00,-2.842150279776178845e+00,-2.872150279776179094e+00,-2.862150279776178863e+00,-5.489752198241407477e+00,-5.489752198241407477e+00,-5.469752198241407015e+00,-5.469752198241407015e+00,1.619742605915267752e+00,1.595742605915267731e+00,1.613742605915267747e+00,1.619742605915267752e+00,1.844404476418864958e+00,1.874404476418864762e+00,1.874404476418864762e+00,1.884404476418864771e+00,-1.049520383693045567e+00,-1.029520383693045549e+00,-9.995203836930456331e-01,-1.019520383693045540e+00,-8.308089528377298194e+00,-8.228089528377298123e+00,-8.288089528377298620e+00,-8.328089528377299544e+00
5.600000000000000382e-07,2.796235011990407582e+00,2.796235011990407582e+00,2.806235011990407369e+00,2.806235011990407369e+00,-2.700791366906474700e+00,-2.730791366906474948e+00,-2.700791366906474700e+00,-2.680791366906475126e+00,1.807550759392485995e+00,1.799550759392485988e+00,1.823550759392486009e+00,1.807550759392485995e+00,1.679245403677058324e+00,1.651245403677058299e+00,1.643245403677058292e+00,1.667245403677058313e+00,-9.172182254196642459e-01,-8.472182254196641837e-01,-8.672182254196642015e-01,-8.772182254196642104e-01,-4.154196642685850982e+00,-4.194196642685851018e+00,-4.274196642685851089e+00,-4.174196642685851444e+00,-2.662150279776179129e+00,-2.632150279776178881e+00,-2.672150279776178916e+00,-2.662150279776179129e+00,-5.269752198241406838e+00,-5.249752198241407264e+00,-5.249752198241407264e+00,-5.269752198241406838e+00,1.819742605915267930e+00,1.809742605915267921e+00,1.819742605915267930e+00,1.821742605915267932e+00,2.264404476418864665e+00,2.294404476418864913e+00,2.274404476418864895e+00,2.234404476418864860e+00,-9.995203836930456331e-01,-1.039520383693045558e+00,-1.039520383693045558e+00,-1.039520383693045558e+00,-8.068089528377297981e+00,-8.088089528377299331e+00,-8.008089528377299260e+00,-8.088089528377299331e+00
6.400000000000000134e-07,3.086235011990407617e+00,3.016235011990407333e+00,3.056235011990407369e+00,3.036235011990407351e+00,-2.490791366906474735e+00,-2.510791366906475197e+00,-2.470791366906475162e+00,-2.520791366906474984e+00,1.785550759392485975e+00,1.777550759392485968e+00,1.791550759392485981e+00,1.783550759392485974e+00,2.199245403677058341e+00,2.171245403677058317e+00,2.183245403677058327e+00,2.171245403677058317e+00,-3.472182254196642393e-01,-3.572182254196642481e-01,-3.872182254196642193e-01,-3.872182254196642193e-01,-3.974196642685851266e+00,-3.954196642685851248e+00,-3.994196642685850840e+00,-3.954196642685851248e+00,-2.472150279776178738e+00,-2.482150279776178969e+00,-2.462150279776178952e+00,-2.472150279776178738e+00,-5.049752198241407086e+00,-5.109752198241406695e+00,-5.089752198241407122e+00,-5.049752198241407086e+00,1.787742605915267902e+00,1.775742605915267891e+00,1.789742605915267903e+00,1.801742605915267914e+00,2.484404476418864860e+00,2.534404476418864682e+00,2.464404476418864842e+00,2.514404476418864665e+00,-1.039520383693045558e+00,-1.029520383693045549e+00,-1.019520383693045540e+00,-1.039520383693045558e+00,-7.888089528377298265e+00,-7.908089528377297839e+00,-7.928089528377298301e+00,-7.868089528377297803e+00
7.199999999999999886e-07,3.356235011990407635e+00,3.316235011990407600e+00,3.286235011990407351e+00,3.246235011990407315e+00,-2.260791366906475197e+00,-2.300791366906475233e+00,-2.290791366906474558e+00,-2.250791366906474522e+00,1.777550759392485968e+00,1.781550759392485972e+00,1.791550759392485981e+00,1.769550759392485961e+00,2.491245403677058157e+00,2.487245403677058153e+00,2.499245403677058164e+00,2.479245403677058146e+00,1.527817745803357885e-01,1.027817745803357719e-01,1.027817745803357719e-01,1.027817745803357719e-01,-3.754196642685851071e+00,-3.754196642685851071e+00,-3.754196642685851071e+00,-3.734196642685851053e+00,-2.282150279776178792e+00,-2.292150279776179023e+00,-2.262150279776178774e+00,-2.262150279776178774e+00,-4.829752198241407335e+00,-4.809752198241406873e+00,-4.889752198241406944e+00,-4.769752198241406838e+00,1.775742605915267891e+00,1.765742605915267882e+00,1.775742605915267891e+00,1.789742605915267903e+00,2.724404476418865073e+00,2.794404476418864913e+00,2.744404476418864647e+00,2.774404476418864895e+00,-1.039520383693045558e+00,-1.019520383693045540e+00,-1.029520383693045549e+00,-1.009520383693045531e+00,-7.648089528377298052e+00,-7.628089528377297590e+00,-7.648089528377298052e+00,-7.648089528377298052e+00
